sample	stage	sequencing_round	parents	f1	cross_type	species	location	m_unique	p_unique	mean_caudal_lightness	mean_jaw_length	mean_nose_length	mean_nose_height	lake
OVT2	48hpf	2	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OVT3	48hpf	2	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OXE2	8dpf	3	osprey_snail_eater_female_x_osprey_generalist_male	OMxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OXT1	48hpf	3	osprey_snail_eater_female_x_osprey_generalist_male	OMxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OXT2	48hpf	3	osprey_snail_eater_female_x_osprey_generalist_male	OMxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OXT3	48hpf	3	osprey_snail_eater_female_x_osprey_generalist_male	OMxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OYE1	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OYE2	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OYE3	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OYE4	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OYE5	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OYT1	48hpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OYT2	48hpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OYT3	48hpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OZE2	8dpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OZE4	8dpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OZE5	8dpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
